season,competition,round,date,time,home,away,home_score,away_score,penalties,venue_side,attendance,report_url,match_id
2010-11,Ligue 1,34,dim. 08/05/2011,21:00,Lyon,Marseille,3,2,non,D,39.548,/spielbericht/index/spielbericht/1043556,1043556
2010-11,Ligue 1,35,mer. 11/05/2011,19:00,AJ Auxerre,Lyon,4,0,non,E,12.007,/spielbericht/index/spielbericht/1043900,1043900
2010-11,Ligue 1,36,lun. 16/05/2011,21:00,Stade Brestois,Lyon,1,1,non,E,14.527,/spielbericht/index/spielbericht/1043912,1043912
2010-11,Ligue 1,37,sam. 21/05/2011,21:00,Lyon,SM Caen,0,0,non,D,37.026,/spielbericht/index/spielbericht/1043922,1043922
2010-11,Ligue 1,38,dim. 29/05/2011,21:00,Monaco,Lyon,0,2,non,E,11.140,/spielbericht/index/spielbericht/1043936,1043936
2011-12,Ligue 1,1,sam. 06/08/2011,21:00,OGC Nice,Lyon,1,3,non,E,14.405,/spielbericht/index/spielbericht/1136053,1136053
2011-12,Ligue 1,2,sam. 13/08/2011,19:00,Lyon,AC Ajaccio,1,1,non,D,30.746,/spielbericht/index/spielbericht/1136117,1136117
2011-12,UEFA Champions League Qualification,Tour de qualifications,mar. 16/08/2011,20:45,Lyon,Rubin Kazan,3,1,non,D,35.468,/spielbericht/index/spielbericht/1135757,1135757
2011-12,Ligue 1,3,sam. 20/08/2011,19:00,Stade Brestois,Lyon,1,1,non,E,14.693,/spielbericht/index/spielbericht/1136106,1136106
2011-12,UEFA Champions League Qualification,Tour de qualifications,mer. 24/08/2011,18:00,Rubin Kazan,Lyon,1,1,non,E,20.620,/spielbericht/index/spielbericht/1135758,1135758
2011-12,Ligue 1,4,sam. 27/08/2011,21:00,Lyon,Montpellier,2,1,non,D,31.634,/spielbericht/index/spielbericht/1136130,1136130
2011-12,Ligue 1,5,sam. 10/09/2011,19:00,Dijon,Lyon,1,2,non,E,14.325,/spielbericht/index/spielbericht/1141149,1141149
2011-12,UEFA Champions League,Phase de groupe,mer. 14/09/2011,20:45,Ajax,Lyon,0,0,non,E,49.504,/spielbericht/index/spielbericht/1141855,1141855
2011-12,Ligue 1,6,dim. 18/09/2011,21:00,Lyon,Marseille,2,0,non,D,38.010,/spielbericht/index/spielbericht/1141166,1141166
2011-12,Ligue 1,7,mer. 21/09/2011,19:00,SM Caen,Lyon,1,0,non,E,16.644,/spielbericht/index/spielbericht/1141170,1141170
2011-12,Ligue 1,8,sam. 24/09/2011,19:00,Lyon,G. Bordeaux,3,1,non,D,30.806,/spielbericht/index/spielbericht/1141323,1141323
2011-12,UEFA Champions League,Phase de groupe,mar. 27/09/2011,20:45,Lyon,Dinamo Zagreb,2,0,non,D,34.432,/spielbericht/index/spielbericht/1141862,1141862
2011-12,Ligue 1,9,dim. 02/10/2011,21:00,PSG,Lyon,2,0,non,E,44.450,/spielbericht/index/spielbericht/1141338,1141338
2011-12,Ligue 1,10,sam. 15/10/2011,19:00,Lyon,AS Nancy,3,1,non,D,33.825,/spielbericht/index/spielbericht/1141340,1141340
2011-12,UEFA Champions League,Phase de groupe,mar. 18/10/2011,20:45,Real Madrid,Lyon,4,0,non,E,70.028,/spielbericht/index/spielbericht/1141878,1141878
2011-12,Ligue 1,11,dim. 23/10/2011,21:00,LOSC Lille,Lyon,3,1,non,E,17.247,/spielbericht/index/spielbericht/1158434,1158434
2011-12,Coupe de la Ligue,Huitièmes de finale,mer. 26/10/2011,20:50,Saint-Étienne,Lyon,1,2,non,E,25.906,/spielbericht/index/spielbericht/1149042,1149042
2011-12,Ligue 1,12,sam. 29/10/2011,21:00,Lyon,Saint-Étienne,2,0,non,D,38.982,/spielbericht/index/spielbericht/1159402,1159402
2011-12,UEFA Champions League,Phase de groupe,mer. 02/11/2011,20:45,Lyon,Real Madrid,0,2,non,D,40.099,/spielbericht/index/spielbericht/1141902,1141902
2011-12,Ligue 1,13,dim. 06/11/2011,17:00,FC Sochaux,Lyon,2,1,non,E,14.611,/spielbericht/index/spielbericht/1159765,1159765
2011-12,Ligue 1,14,ven. 18/11/2011,20:00,Lyon,Stade Rennais,1,2,non,D,32.193,/spielbericht/index/spielbericht/1159784,1159784
2011-12,UEFA Champions League,Phase de groupe,mar. 22/11/2011,20:45,Lyon,Ajax,0,0,non,D,35.070,/spielbericht/index/spielbericht/1141917,1141917
2011-12,Ligue 1,15,dim. 27/11/2011,17:00,AJ Auxerre,Lyon,0,3,non,E,12.081,/spielbericht/index/spielbericht/1159794,1159794
2011-12,Ligue 1,16,dim. 04/12/2011,21:00,Lyon,Toulouse,3,2,non,D,31.028,/spielbericht/index/spielbericht/1159807,1159807
2011-12,UEFA Champions League,Phase de groupe,mer. 07/12/2011,20:45,Dinamo Zagreb,Lyon,1,7,non,E,16.457,/spielbericht/index/spielbericht/1141940,1141940
2011-12,Ligue 1,17,dim. 11/12/2011,21:00,FC Lorient,Lyon,0,1,non,E,14.998,/spielbericht/index/spielbericht/1159815,1159815
